iter	Passed	Remaining
959	19227	801
960	19243	780
961	19258	760
962	19274	740
963	19289	720
964	19314	700
965	19332	680
966	19347	660
967	19363	640
968	19382	620
969	19405	600
970	19423	580
971	19440	560
972	19457	539
973	19471	519
974	19488	499
975	19506	479
976	19523	459
977	19540	439
978	19555	419
979	19573	399
980	19594	379
981	19617	359
982	19637	339
983	19653	319
984	19670	299
985	19686	279
986	19702	259
987	19719	239
988	19735	219
989	19752	199
990	19776	179
991	19801	159
992	19828	139
993	19853	119
994	19878	99
995	19904	79
996	19941	60
997	19966	40
998	19988	20
999	20006	0
